#Clutter

// ------------------------------------------------
// Kava New - Goober
// ------------------------------------------------


//$Class Name:           "Mesh Test"
//$V3D Filename:         "meshtest.v3d"
//$Material:             "rock"
//$Life:                 -1
//$Flags:                ("collide_object")
//$RFE Level1:	       "Kava"

$Class Name:           "Kva Pole Light"
$V3D Filename:         "kvalightpolelight1.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
//$Debris Filename:      "kvalightpolelight1.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 400
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "BigBeamLight_Glare02_Kava"
$Flags:                ("collide_weapon")
$Debris Velocity:      3
$RFE Level1:	        "Kava"

$Class Name:           "Kva Pickaxe"
$V3D Filename:         "gbrrfgpxaxe1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:	       "Kava"

$Class Name:           "Kva UltorText"
$V3D Filename:         "gbrkvaulttext1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:	       "Kava"

$Class Name:           "Kva Lightpole1"
$V3D Filename:         "kvalightpole1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Solar Panel 2"
$V3D Filename:         "gbrkvaspanel2.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva DestroyedTank"
$V3D Filename:         "kvasopottankdes1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva CornerGen"
$V3D Filename:         "kvacornergen1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Lightpole2"
$V3D Filename:         "kvalightpole2.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Crane 1"
$V3D Filename:         "gbrkvacrane1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Crane 2a"
$V3D Filename:         "gbrkvacrane2.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:	       "Kava"

$Class Name:           "Kva Crane 2b"
$V3D Filename:         "gbrkvacrane2_2.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Sat Dish 1"
$V3D Filename:         "kvasopotsatdish1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Broke Ship 1"
$V3D Filename:         "kvasopotbrokeship1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Broke APC 1"
$V3D Filename:         "kvasopotbrokeapc1.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva Broke APC 2"
$V3D Filename:         "kvasopotbrokeapc2.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Kva WallDec1"
$V3D Filename:         "kvawalldec01.v3d"
$Material:             "flesh"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Gbr Pipe Join 1"
$V3D Filename:         "gbrkvapipe_join.v3d"
$Material:             "rock"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Gbr Pipe 24 Str"
$V3D Filename:         "gbrkvapipe_24str.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Gbr Pipe 90 R"
$V3D Filename:         "gbrkvapipe_90rt.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:	       "Kava"

$Class Name:           "Gbr Pipe 90 L"
$V3D Filename:         "gbrkvapipe_90lf.v3d"
$Material:             "metal"
